table,domain,path,line
o_ce_audit_log,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2874
o_eva_form_survey,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,2887
o_eva_form_participation,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,2903
o_eva_form_session,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,2921
o_eva_form_response,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,2943
o_qual_data_collection,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,2957
o_qual_data_collection_to_org,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,2978
o_qual_context,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,2986
o_qual_context_to_organisation,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,3000
o_qual_context_to_curriculum,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,3008
o_qual_context_to_cur_element,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,3016
o_qual_context_to_tax_level,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,3024
o_qual_reminder,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,3032
o_qual_report_access,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,3043
o_qual_generator,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,3059
o_qual_generator_config,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,3071
o_qual_generator_to_org,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,3081
o_qual_generator_override,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,3089
o_qual_analysis_presentation,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,3101
o_qual_audit_log,质量管理与表单,src/main/resources/database/postgresql/setupDatabase.sql,3117
o_qp_pool,题库,src/main/resources/database/postgresql/setupDatabase.sql,3131
o_qp_taxonomy_level,题库,src/main/resources/database/postgresql/setupDatabase.sql,3141
o_qp_item,题库,src/main/resources/database/postgresql/setupDatabase.sql,3152
o_qp_item_audit_log,题库,src/main/resources/database/postgresql/setupDatabase.sql,3192
o_qp_pool_2_item,题库,src/main/resources/database/postgresql/setupDatabase.sql,3206
o_qp_share_item,题库,src/main/resources/database/postgresql/setupDatabase.sql,3215
o_qp_item_collection,题库,src/main/resources/database/postgresql/setupDatabase.sql,3224
o_qp_collection_2_item,题库,src/main/resources/database/postgresql/setupDatabase.sql,3233
o_qp_edu_context,题库,src/main/resources/database/postgresql/setupDatabase.sql,3241
o_qp_item_type,题库,src/main/resources/database/postgresql/setupDatabase.sql,3249
o_qp_license,题库,src/main/resources/database/postgresql/setupDatabase.sql,3257
o_lti_outcome,LTI集成,src/main/resources/database/postgresql/setupDatabase.sql,3267
o_lti_tool,LTI集成,src/main/resources/database/postgresql/setupDatabase.sql,3281
o_lti_tool_deployment,LTI集成,src/main/resources/database/postgresql/setupDatabase.sql,3298
o_lti_context,LTI集成,src/main/resources/database/postgresql/setupDatabase.sql,3325
o_lti_platform,LTI集成,src/main/resources/database/postgresql/setupDatabase.sql,3350
o_lti_shared_tool_deployment,LTI集成,src/main/resources/database/postgresql/setupDatabase.sql,3368
o_lti_shared_tool_service,LTI集成,src/main/resources/database/postgresql/setupDatabase.sql,3379
o_lti_content_item,LTI集成,src/main/resources/database/postgresql/setupDatabase.sql,3390
o_lti_key,LTI集成,src/main/resources/database/postgresql/setupDatabase.sql,3433
o_cl_checkbox,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,3446
o_cl_check,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,3457
o_gta_task_list,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,3468
o_gta_task,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,3477
o_gta_task_revision,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,3514
o_gta_task_revision_date,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,3528
o_gta_review_assignment,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,3538
o_gta_mark,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,3551
o_rem_reminder,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3561
o_rem_sent_reminder,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3579
o_ex_task,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3589
o_ex_task_modifier,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3608
o_ex_export_metadata,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3617
o_ex_export_metadata_to_org,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3637
o_ex_export_metadata_to_cur,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3645
o_ex_export_metadata_to_cur_el,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3653
o_sms_message_log,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3662
o_feed,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3674
o_feed_item,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3691
o_lecture_reason,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3716
o_lecture_absence_category,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3726
o_lecture_absence_notice,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3736
o_lecture_block,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3754
o_lecture_block_to_group,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3787
o_lecture_notice_to_block,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3794
o_lecture_notice_to_entry,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3802
o_lecture_block_roll_call,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3810
o_lecture_reminder,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3834
o_lecture_participant_summary,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3843
o_lecture_entry_config,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3862
o_lecture_block_audit_log,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3884
o_lecture_block_to_tax_level,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3901
o_cp_system,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3910
o_cp_system_to_organisation,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3925
o_cp_wallet,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3933
o_cp_transaction,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3944
o_cp_transaction_details,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3962
o_cp_repositoryentry_config,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3971
o_cp_cur_element_config,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3984
o_tax_taxonomy,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,3996
o_tax_taxonomy_level_type,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4011
o_tax_taxonomy_type_to_type,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4035
o_tax_taxonomy_level,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4042
o_tax_taxonomy_competence,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4064
o_tax_competence_audit_log,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4081
o_dialog_element,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4096
o_lic_license_type,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4111
o_lic_license_type_activation,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4124
o_lic_license,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4132
o_org_organisation_type,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,4145
o_org_organisation,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,4158
o_org_email_domain,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,4178
o_org_type_to_type,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,4189
o_re_to_organisation,资源仓库与课程资源,src/main/resources/database/postgresql/setupDatabase.sql,4196
o_cur_element_type,课程体系与培养计划,src/main/resources/database/postgresql/setupDatabase.sql,4207
o_cur_curriculum,课程体系与培养计划,src/main/resources/database/postgresql/setupDatabase.sql,4226
o_cur_curriculum_element,课程体系与培养计划,src/main/resources/database/postgresql/setupDatabase.sql,4243
o_cur_element_type_to_type,课程体系与培养计划,src/main/resources/database/postgresql/setupDatabase.sql,4297
o_cur_element_to_tax_level,课程体系与培养计划,src/main/resources/database/postgresql/setupDatabase.sql,4304
o_cur_audit_log,课程体系与培养计划,src/main/resources/database/postgresql/setupDatabase.sql,4312
o_es_usage,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4326
o_livestream_launch,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4345
o_livestream_url_template,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4355
o_grad_to_identity,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4366
o_grad_assignment,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4376
o_grad_time_record,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4395
o_grad_configuration,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4407
o_course_element,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4428
o_course_color_category,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4448
o_course_disclaimer_consent,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4461
o_ap_topic,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4473
o_ap_organizer,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4489
o_ap_topic_to_group,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4498
o_ap_appointment,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4506
o_ap_participation,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4528
o_org_role_to_right,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,4540
o_ct_location,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4550
o_ct_registration,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4569
o_immunity_proof,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4596
o_zoom_profile,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4608
o_zoom_config,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,4622
o_proj_project,项目与协作,src/main/resources/database/postgresql/setupDatabase.sql,4634
o_proj_project_to_org,项目与协作,src/main/resources/database/postgresql/setupDatabase.sql,4652
o_proj_template_to_org,项目与协作,src/main/resources/database/postgresql/setupDatabase.sql,4659
o_proj_project_user_info,项目与协作,src/main/resources/database/postgresql/setupDatabase.sql,4666
o_proj_artefact,项目与协作,src/main/resources/database/postgresql/setupDatabase.sql,4675
o_proj_artefact_to_artefact,项目与协作,src/main/resources/database/postgresql/setupDatabase.sql,4690
o_proj_tag,项目与协作,src/main/resources/database/postgresql/setupDatabase.sql,4699
o_proj_file,项目与协作,src/main/resources/database/postgresql/setupDatabase.sql,4707
