type,name,component,path,has_version_php,has_install_xml,has_access_php,has_services_php,php_files,templates,tests,table_count,tables,capabilities,services
auth,webservice,auth_webservice,public/auth/webservice,True,False,False,False,4,0,0,0,,0,0
availability,completion,availability_completion,public/availability/condition/completion,True,False,False,False,7,0,4,0,,0,0
availability,date,availability_date,public/availability/condition/date,True,False,False,False,8,0,4,0,,0,0
availability,grade,availability_grade,public/availability/condition/grade,True,False,False,False,8,0,2,0,,0,0
availability,group,availability_group,public/availability/condition/group,True,False,False,False,6,0,2,0,,0,0
availability,grouping,availability_grouping,public/availability/condition/grouping,True,False,False,False,6,0,2,0,,0,0
availability,profile,availability_profile,public/availability/condition/profile,True,False,False,False,6,0,2,0,,0,0
block,accessreview,block_accessreview,public/blocks/accessreview,True,False,True,True,11,1,5,0,,2,0
block,activity_results,block_activity_results,public/blocks/activity_results,True,False,True,False,8,0,14,0,,1,0
block,admin_bookmarks,block_admin_bookmarks,public/blocks/admin_bookmarks,True,False,True,False,7,0,1,0,,2,0
block,badges,block_badges,public/blocks/badges,True,False,True,False,8,0,6,0,,2,0
block,blog_menu,block_blog_menu,public/blocks/blog_menu,True,False,True,False,6,0,5,0,,1,0
block,blog_recent,block_blog_recent,public/blocks/blog_recent,True,False,True,False,7,0,5,0,,1,0
block,blog_tags,block_blog_tags,public/blocks/blog_tags,True,False,True,False,7,0,2,0,,1,0
block,calendar_month,block_calendar_month,public/blocks/calendar_month,True,False,True,False,6,0,4,0,,2,0
block,calendar_upcoming,block_calendar_upcoming,public/blocks/calendar_upcoming,True,False,True,False,7,0,4,0,,2,0
block,comments,block_comments,public/blocks/comments,True,False,True,False,12,0,9,0,,2,0
block,completionstatus,block_completionstatus,public/blocks/completionstatus,True,False,True,False,8,0,5,0,,1,0
block,course_list,block_course_list,public/blocks/course_list,True,False,True,False,6,0,4,0,,2,0
block,course_summary,block_course_summary,public/blocks/course_summary,True,False,True,False,7,0,2,0,,1,0
block,feedback,block_feedback,public/blocks/feedback,True,False,True,False,7,0,0,0,,1,0
block,globalsearch,block_globalsearch,public/blocks/globalsearch,True,False,True,False,6,0,1,0,,2,0
block,glossary_random,block_glossary_random,public/blocks/glossary_random,True,False,True,False,8,0,6,0,,2,0
block,html,block_html,public/blocks/html,True,False,True,False,16,0,6,0,,2,0
block,login,block_login,public/blocks/login,True,False,True,False,5,0,1,0,,1,0
block,lp,block_lp,public/blocks/lp,True,False,True,False,13,3,2,0,,2,0
block,mentees,block_mentees,public/blocks/mentees,True,False,True,False,6,0,1,0,,2,0
block,myoverview,block_myoverview,public/blocks/myoverview,True,False,True,False,12,14,13,0,,1,0
block,myprofile,block_myprofile,public/blocks/myprofile,True,False,True,False,8,1,5,0,,2,0
block,navigation,block_navigation,public/blocks/navigation,True,False,True,False,8,0,4,0,,2,0
block,news_items,block_news_items,public/blocks/news_items,True,False,True,False,5,0,1,0,,2,0
block,online_users,block_online_users,public/blocks/online_users,True,False,True,False,11,0,6,0,,3,0
block,private_files,block_private_files,public/blocks/private_files,True,False,True,False,7,0,5,0,,2,0
block,recent_activity,block_recent_activity,public/blocks/recent_activity,True,True,True,False,11,0,1,1,block_recent_activity,3,0
block,recentlyaccessedcourses,block_recentlyaccessedcourses,public/blocks/recentlyaccessedcourses,True,False,True,False,10,3,2,0,,1,0
block,recentlyaccesseditems,block_recentlyaccesseditems,public/blocks/recentlyaccesseditems,True,True,True,True,19,5,5,1,block_recentlyaccesseditems,1,1
block,rss_client,block_rss_client,public/blocks/rss_client,True,True,True,False,27,5,3,1,block_rss_client,4,0
block,search_forums,block_search_forums,public/blocks/search_forums,True,False,True,False,7,1,2,0,,1,0
block,selfcompletion,block_selfcompletion,public/blocks/selfcompletion,True,False,True,False,7,0,0,0,,1,0
block,settings,block_settings,public/blocks/settings,True,False,True,False,8,0,0,0,,2,0
block,site_main_menu,block_site_main_menu,public/blocks/site_main_menu,True,False,True,False,8,1,4,0,,1,0
block,social_activities,block_social_activities,public/blocks/social_activities,True,False,True,False,7,1,2,0,,1,0
block,starredcourses,block_starredcourses,public/blocks/starredcourses,True,False,True,True,10,3,1,0,,1,1
block,tag_flickr,block_tag_flickr,public/blocks/tag_flickr,True,False,True,False,6,0,1,0,,1,0
block,tag_youtube,block_tag_youtube,public/blocks/tag_youtube,True,False,True,False,10,0,2,0,,1,0
block,tags,block_tags,public/blocks/tags,True,False,True,False,8,0,2,0,,2,0
block,timeline,block_timeline,public/blocks/timeline,True,False,True,False,11,18,6,0,,1,0
booktool,exportimscp,booktool_exportimscp,public/mod/book/tool/exportimscp,True,False,True,False,10,0,1,0,,1,0
booktool,importhtml,booktool_importhtml,public/mod/book/tool/importhtml,True,False,True,False,9,0,3,0,,1,0
booktool,print,booktool_print,public/mod/book/tool/print,True,False,True,False,13,2,1,0,,1,0
cachelock,file,cachelock_file,public/cache/locks/file,True,False,False,False,4,0,0,0,,0,0
cachestore,apcu,cachestore_apcu,public/cache/stores/apcu,True,False,False,False,7,0,1,0,,0,0
cachestore,file,cachestore_file,public/cache/stores/file,True,False,False,False,8,0,2,0,,0,0
cachestore,redis,cachestore_redis,public/cache/stores/redis,True,False,False,False,13,0,5,0,,0,0
cachestore,session,cachestore_session,public/cache/stores/session,True,False,False,False,5,0,1,0,,0,0
cachestore,static,cachestore_static,public/cache/stores/static,True,False,False,False,5,0,1,0,,0,0
calendartype,gregorian,calendartype_gregorian,public/calendar/type/gregorian,True,False,False,False,5,0,1,0,,0,0
communication,customlink,communication_customlink,public/communication/provider/customlink,True,True,False,False,7,0,3,1,communication_customlink,0,0
communication,matrix,communication_matrix,public/communication/provider/matrix,True,True,True,False,45,0,11,1,matrix_room,1,0
contenttype,h5p,contenttype_h5p,public/contentbank/contenttype/h5p,True,False,True,False,9,0,8,0,,3,0
courseformat,singleactivity,courseformat_singleactivity,public/course/format/singleactivity,True,False,False,False,9,0,4,0,,0,0
courseformat,social,courseformat_social,public/course/format/social,True,False,False,False,8,0,2,0,,0,0
courseformat,topics,courseformat_topics,public/course/format/topics,True,False,False,False,15,0,6,0,,0,0
courseformat,weeks,courseformat_weeks,public/course/format/weeks,True,False,False,False,13,0,7,0,,0,0
customfield,checkbox,customfield_checkbox,public/customfield/field/checkbox,True,False,False,False,6,0,2,0,,0,0
customfield,date,customfield_date,public/customfield/field/date,True,False,False,False,7,0,2,0,,0,0
customfield,number,customfield_number,public/customfield/field/number,True,False,False,True,23,1,8,0,,0,0
customfield,select,customfield_select,public/customfield/field/select,True,False,False,False,6,0,2,0,,0,0
customfield,text,customfield_text,public/customfield/field/text,True,False,False,False,6,0,2,0,,0,0
customfield,textarea,customfield_textarea,public/customfield/field/textarea,True,False,False,False,7,0,3,0,,0,0
dataformat,csv,dataformat_csv,public/dataformat/csv,True,False,False,False,4,0,0,0,,0,0
dataformat,excel,dataformat_excel,public/dataformat/excel,True,False,False,False,5,0,1,0,,0,0
