table,domain,path,line,source
MFR_OPEN_FORUM_T,沟通协作,msgcntr/messageforums-app/src/sql/oracle/sakai_messageforums.sql,179,sql
MFR_PERMISSION_LEVEL_T,沟通协作,msgcntr/messageforums-docs/updating/mfr_m2-m3_mysq_conversion.sql,11,sql
MFR_PRIVATE_FORUM_T,沟通协作,msgcntr/messageforums-app/src/sql/oracle/sakai_messageforums.sql,203,sql
MFR_RANKIMAGE_T,沟通协作,msgcntr/messageforums-hbm/src/sql/oracle/MSGCNTR-620.sql,27,sql
MFR_RANK_INDIVIDUAL_T,沟通协作,msgcntr/messageforums-hbm/src/sql/oracle/SAK-29036.sql,1,sql
MFR_RANK_T,沟通协作,msgcntr/messageforums-hbm/src/sql/oracle/MSGCNTR-620.sql,7,sql
MFR_SYNOPTIC_ITEM,沟通协作,msgcntr/messageforums-hbm/src/sql/oracle/mfr_conversion_26x-27x.sql,79,sql
MFR_TOPIC_T,沟通协作,msgcntr/messageforums-app/src/sql/oracle/sakai_messageforums.sql,78,sql
MFR_UNREAD_STATUS_T,沟通协作,msgcntr/messageforums-app/src/sql/oracle/sakai_messageforums.sql,69,sql
MSGCNTR_TMP,沟通协作,msgcntr/messageforums-hbm/src/sql/oracle/mfr_conversion_26x-27x.sql,110,sql
mfr_actor_permissions_t,沟通协作,msgcntr/messageforums-app/src/sql/mysql/sakai_messageForums.sql,2,sql
mfr_area_t,沟通协作,msgcntr/messageforums-app/src/sql/mysql/sakai_messageForums.sql,9,sql
mfr_attachment_t,沟通协作,msgcntr/messageforums-app/src/sql/mysql/sakai_messageForums.sql,26,sql
mfr_control_permissions_t,沟通协作,msgcntr/messageforums-app/src/sql/mysql/sakai_messageForums.sql,63,sql
mfr_date_restrictions_t,沟通协作,msgcntr/messageforums-app/src/sql/mysql/sakai_messageForums.sql,77,sql
mfr_label_t,沟通协作,msgcntr/messageforums-app/src/sql/mysql/sakai_messageForums.sql,92,sql
mfr_message_forums_user_t,沟通协作,msgcntr/messageforums-app/src/sql/mysql/sakai_messageForums.sql,114,sql
mfr_message_permissions_t,沟通协作,msgcntr/messageforums-app/src/sql/mysql/sakai_messageForums.sql,138,sql
mfr_message_t,沟通协作,msgcntr/messageforums-app/src/sql/mysql/sakai_messageForums.sql,152,sql
mfr_open_forum_t,沟通协作,msgcntr/messageforums-app/src/sql/mysql/sakai_messageForums.sql,183,sql
mfr_private_forum_t,沟通协作,msgcntr/messageforums-app/src/sql/mysql/sakai_messageForums.sql,220,sql
mfr_topic_t,沟通协作,msgcntr/messageforums-app/src/sql/mysql/sakai_messageForums.sql,244,sql
mfr_unread_status_t,沟通协作,msgcntr/messageforums-app/src/sql/mysql/sakai_messageForums.sql,291,sql
SAM_ANSWERFEEDBACK_T,测验/题库 Samigo,samigo/samigo-pack/src/sql/oracle/sakai_samigo_tables_v2_1_2.sql,353,sql
SAM_ANSWER_T,测验/题库 Samigo,samigo/samigo-pack/src/sql/oracle/sakai_samigo_tables_v2_1_2.sql,105,sql
SAM_ASSESSACCESSCONTROL_T,测验/题库 Samigo,samigo/samigo-pack/src/sql/oracle/sakai_samigo_tables_v2_1_2.sql,400,sql
SAM_ASSESSEVALUATION_T,测验/题库 Samigo,samigo/samigo-pack/src/sql/oracle/sakai_samigo_tables_v2_1_2.sql,340,sql
SAM_ASSESSFEEDBACK_T,测验/题库 Samigo,samigo/samigo-pack/src/sql/oracle/sakai_samigo_tables_v2_1_2.sql,502,sql
SAM_ASSESSMENTBASE_T,测验/题库 Samigo,samigo/samigo-pack/src/sql/oracle/sakai_samigo_tables_v2_1_2.sql,557,sql
SAM_ASSESSMENTGRADING_T,测验/题库 Samigo,samigo/samigo-pack/src/sql/oracle/sakai_samigo_tables_v2_1_2.sql,134,sql
SAM_ASSESSMETADATA_T,测验/题库 Samigo,samigo/samigo-pack/src/sql/oracle/sakai_samigo_tables_v2_1_2.sql,589,sql
SAM_ATTACHMENT_T,测验/题库 Samigo,samigo/samigo-pack/src/sql/oracle/sakai_samigo_tables_v2_4.sql,83,sql
SAM_AUTHZDATA_T,测验/题库 Samigo,samigo/samigo-pack/src/sql/oracle/sakai_samigo_tables_v2_1_2.sql,326,sql
